time;SSE;E;S;W;SSW;EW
20210113:1410;54.95;42.09;59.5;55.63;61.76;48.86
20210113:1510;24.97;13.04;39.4;41.04;48.82;27.04
20210113:1610;0;0;0;0;0;0
20210113:1710;0;0;0;0;0;0
20210113:1810;0;0;0;0;0;0
20210113:1910;0;0;0;0;0;0
20210113:2010;0;0;0;0;0;0
20210113:2110;0;0;0;0;0;0
20210113:2210;0;0;0;0;0;0
20210113:2310;0;0;0;0;0;0
20210114:0010;0;0;0;0;0;0
20210114:0110;0;0;0;0;0;0
20210114:0210;0;0;0;0;0;0
20210114:0310;0;0;0;0;0;0
20210114:0410;0;0;0;0;0;0
20210114:0510;0;0;0;0;0;0
20210114:0610;0;0;0;0;0;0
20210114:0710;0;0;0;0;0;0
20210114:0810;3.92;3.92;3.92;3.47;3.92;3.695
20210114:0910;40.33;38.9;39.68;33.48;38.45;36.19
20210114:1010;24.21;24.21;24.21;22.32;24.21;23.265
20210114:1110;100.55;91.05;100.88;87.42;99.1;89.235
20210114:1210;55.12;55.12;55.12;55.12;55.12;55.12
20210114:1310;176.67;84.87;197.46;144.28;202.65;114.575
20210114:1410;14.47;13.25;14.47;14.47;14.47;13.86
20210114:1510;72.14;11.94;150.94;159.8;200.76;85.87
20210114:1610;0;0;0;0;0;0
20210114:1710;0;0;0;0;0;0
20210114:1810;0;0;0;0;0;0
20210114:1910;0;0;0;0;0;0
20210114:2010;0;0;0;0;0;0
20210114:2110;0;0;0;0;0;0
20210114:2210;0;0;0;0;0;0
20210114:2310;0;0;0;0;0;0
20210115:0010;0;0;0;0;0;0
20210115:0110;0;0;0;0;0;0
20210115:0210;0;0;0;0;0;0
20210115:0310;0;0;0;0;0;0
20210115:0410;0;0;0;0;0;0
20210115:0510;0;0;0;0;0;0
20210115:0610;0;0;0;0;0;0
20210115:0710;0;0;0;0;0;0
20210115:0810;4.01;4.01;4.01;3.55;4.01;3.78
20210115:0910;32.56;32.56;32.56;30.13;32.56;31.345
20210115:1010;46.42;46.42;46.42;43.1;46.42;44.76
20210115:1110;47.08;47.08;47.08;47.08;47.08;47.08
20210115:1210;26.66;26.66;26.66;26.66;26.66;26.66
20210115:1310;61.09;58.59;61.66;60.2;61.8;59.395
20210115:1410;40.09;35.05;41.14;40.25;41.65;37.65
20210115:1510;32.59;16.02;52.53;54.83;65.5;35.425
20210115:1610;0;0;0;0;0;0
20210115:1710;0;0;0;0;0;0
20210115:1810;0;0;0;0;0;0
20210115:1910;0;0;0;0;0;0
20210115:2010;0;0;0;0;0;0
20210115:2110;0;0;0;0;0;0
20210115:2210;0;0;0;0;0;0
20210115:2310;0;0;0;0;0;0
20210116:0010;0;0;0;0;0;0
20210116:0110;0;0;0;0;0;0
20210116:0210;0;0;0;0;0;0
20210116:0310;0;0;0;0;0;0
20210116:0410;0;0;0;0;0;0
20210116:0510;0;0;0;0;0;0
20210116:0610;0;0;0;0;0;0
20210116:0710;0;0;0;0;0;0
20210116:0810;0;0;0;0;0;0
20210116:0910;57.3;52.9;55.26;41.08;51.41;46.99
20210116:1010;78.77;73.92;78.14;64.01;76.13;68.965
20210116:1110;128.93;109.7;129.55;102.14;125.9;105.92
20210116:1210;73.57;71.45;73.86;71.91;73.75;71.68
20210116:1310;56.43;56.43;56.43;56.43;56.43;56.43
20210116:1410;26.76;24.71;26.76;26.76;26.76;25.735
20210116:1510;22.2;14.74;29.99;30.89;35.04;22.815
20210116:1610;0;0;0;0;0;0
20210116:1710;0;0;0;0;0;0
20210116:1810;0;0;0;0;0;0
20210116:1910;0;0;0;0;0;0
20210116:2010;0;0;0;0;0;0
20210116:2110;0;0;0;0;0;0
20210116:2210;0;0;0;0;0;0
20210116:2310;0;0;0;0;0;0
20210117:0010;0;0;0;0;0;0
20210117:0110;0;0;0;0;0;0
20210117:0210;0;0;0;0;0;0
20210117:0310;0;0;0;0;0;0
20210117:0410;0;0;0;0;0;0
20210117:0510;0;0;0;0;0;0
20210117:0610;0;0;0;0;0;0
20210117:0710;0;0;0;0;0;0
20210117:0810;92.19;78.07;67.59;10.55;31.66;44.31
20210117:0910;188.79;143.69;167.64;50.24;127.57;96.965
20210117:1010;84.89;78.56;84.05;71.02;81.41;74.79
20210117:1110;194.76;139.57;196.5;117.49;186;128.53
20210117:1210;58.84;58.84;58.84;58.84;58.84;58.84
20210117:1310;28.57;28.57;28.57;28.57;28.57;28.57
20210117:1410;12.19;11.13;12.19;12.19;12.19;11.66
20210117:1510;1.73;1.45;1.73;1.73;1.73;1.59
20210117:1610;0;0;0;0;0;0
20210117:1710;0;0;0;0;0;0
20210117:1810;0;0;0;0;0;0
20210117:1910;0;0;0;0;0;0
20210117:2010;0;0;0;0;0;0
20210117:2110;0;0;0;0;0;0
20210117:2210;0;0;0;0;0;0
20210117:2310;0;0;0;0;0;0
20210118:0010;0;0;0;0;0;0
20210118:0110;0;0;0;0;0;0
20210118:0210;0;0;0;0;0;0
20210118:0310;0;0;0;0;0;0
20210118:0410;0;0;0;0;0;0
20210118:0510;0;0;0;0;0;0
20210118:0610;0;0;0;0;0;0
20210118:0710;0;0;0;0;0;0
20210118:0810;81.75;69.72;60.27;10.58;29.05;40.15
20210118:0910;190.04;145.51;168.87;51.92;128.93;98.715
20210118:1010;600.46;348.39;568.15;20.91;464.23;184.65
20210118:1110;472.73;233.46;479.74;131.68;435.57;182.57
20210118:1210;424.8;151.74;459.62;211.22;446.51;181.48
20210118:1310;114.93;86.24;121.39;104.79;122.99;95.515
20210118:1410;200.52;54.52;264.49;210.02;295.65;132.27
20210118:1510;109.31;12.38;220.58;233.62;289.72;123
20210118:1610;0;0;0;0;0;0
20210118:1710;0;0;0;0;0;0
20210118:1810;0;0;0;0;0;0
20210118:1910;0;0;0;0;0;0
20210118:2010;0;0;0;0;0;0
20210118:2110;0;0;0;0;0;0
20210118:2210;0;0;0;0;0;0
20210118:2310;0;0;0;0;0;0
20210119:0010;0;0;0;0;0;0
20210119:0110;0;0;0;0;0;0
20210119:0210;0;0;0;0;0;0
20210119:0310;0;0;0;0;0;0
20210119:0410;0;0;0;0;0;0
20210119:0510;0;0;0;0;0;0
20210119:0610;0;0;0;0;0;0
20210119:0710;0;0;0;0;0;0
20210119:0810;0;0;0;0;0;0
20210119:0910;17.16;17.16;17.16;15.75;17.16;16.455
20210119:1010;26.23;26.23;26.23;26.23;26.23;26.23
20210119:1110;39.7;39.7;39.7;39.7;39.7;39.7
20210119:1210;36.4;36.4;36.4;36.4;36.4;36.4
20210119:1310;14.91;14.91;14.91;14.91;14.91;14.91
20210119:1410;7.42;6.71;7.42;7.42;7.42;7.065
20210119:1510;45.51;19.78;73.3;76.71;91.27;48.245
20210119:1610;0;0;0;0;0;0
20210119:1710;0;0;0;0;0;0
20210119:1810;0;0;0;0;0;0
20210119:1910;0;0;0;0;0;0
20210119:2010;0;0;0;0;0;0
20210119:2110;0;0;0;0;0;0
20210119:2210;0;0;0;0;0;0
20210119:2310;0;0;0;0;0;0
20210120:0010;0;0;0;0;0;0
20210120:0110;0;0;0;0;0;0
20210120:0210;0;0;0;0;0;0
20210120:0310;0;0;0;0;0;0
20210120:0410;0;0;0;0;0;0
20210120:0510;0;0;0;0;0;0
20210120:0610;0;0;0;0;0;0
20210120:0710;0;0;0;0;0;0
20210120:0810;125.33;107.08;90.92;11.61;40.63;59.345
20210120:0910;473.15;335.35;406.68;26.7;277.86;181.025
20210120:1010;323.68;212.63;308.44;71.91;261.37;142.27
20210120:1110;246.7;160.93;249.16;124.98;232.59;142.955
20210120:1210;601.06;156.29;654.5;254.5;633.94;205.395
20210120:1310;200.87;91.36;225.09;162.42;231.02;126.89
20210120:1410;320.51;29.19;442.89;339.19;501.32;184.19
20210120:1510;117.77;12.64;235.34;249.69;308.39;131.165
20210120:1610;0;0;0;0;0;0
20210120:1710;0;0;0;0;0;0
20210120:1810;0;0;0;0;0;0
20210120:1910;0;0;0;0;0;0
20210120:2010;0;0;0;0;0;0
20210120:2110;0;0;0;0;0;0
20210120:2210;0;0;0;0;0;0
20210120:2310;0;0;0;0;0;0
20210121:0010;0;0;0;0;0;0
20210121:0110;0;0;0;0;0;0
20210121:0210;0;0;0;0;0;0
20210121:0310;0;0;0;0;0;0
20210121:0410;0;0;0;0;0;0
20210121:0510;0;0;0;0;0;0
20210121:0610;0;0;0;0;0;0
20210121:0710;0;0;0;0;0;0
20210121:0810;208.43;177.9;149.01;9.76;60.41;93.83
20210121:0910;435.04;311.86;374.72;32.87;258.6;172.365
20210121:1010;545.83;325.9;516.07;30.64;423.13;178.27
20210121:1110;226.14;156.05;228.1;126.4;214.43;141.225
20210121:1210;419.23;157.79;452.64;212.87;439.58;185.33
20210121:1310;235.16;92.31;266.55;185.14;274.23;138.725
20210121:1410;301.85;36.15;413.4;319.04;466.9;177.595
20210121:1510;47.22;22.35;73.05;76.37;89.75;49.36
20210121:1610;0;0;0;0;0;0
20210121:1710;0;0;0;0;0;0
20210121:1810;0;0;0;0;0;0
20210121:1910;0;0;0;0;0;0
20210121:2010;0;0;0;0;0;0
20210121:2110;0;0;0;0;0;0
20210121:2210;0;0;0;0;0;0
20210121:2310;0;0;0;0;0;0
20210122:0010;0;0;0;0;0;0
20210122:0110;0;0;0;0;0;0
20210122:0210;0;0;0;0;0;0
20210122:0310;0;0;0;0;0;0
20210122:0410;0;0;0;0;0;0
20210122:0510;0;0;0;0;0;0
20210122:0610;0;0;0;0;0;0
20210122:0710;0;0;0;0;0;0
20210122:0810;6.88;6.88;6.88;6.2;6.88;6.54
20210122:0910;222.09;170.52;196.25;54.66;147.93;112.59
20210122:1010;439.11;276.57;416.57;56.52;347.16;166.545
20210122:1110;74.36;72.76;74.4;72.07;74.09;72.415
20210122:1210;333.93;154.89;356.93;192.17;347.84;173.53
20210122:1310;148.73;96.37;160.3;130.38;163.14;113.375
20210122:1410;346.73;27.49;474.02;366.86;533.83;197.175
20210122:1510;122.69;15.57;237.16;251.72;307.45;133.645
20210122:1610;0;0;0;0;0;0
20210122:1710;0;0;0;0;0;0
20210122:1810;0;0;0;0;0;0
20210122:1910;0;0;0;0;0;0
20210122:2010;0;0;0;0;0;0
20210122:2110;0;0;0;0;0;0
20210122:2210;0;0;0;0;0;0
20210122:2310;0;0;0;0;0;0
20210123:0010;0;0;0;0;0;0
20210123:0110;0;0;0;0;0;0
20210123:0210;0;0;0;0;0;0
20210123:0310;0;0;0;0;0;0
20210123:0410;0;0;0;0;0;0
20210123:0510;0;0;0;0;0;0
20210123:0610;0;0;0;0;0;0
20210123:0710;0;0;0;0;0;0
20210123:0810;280.88;242.18;200.8;9.27;79.52;125.725
20210123:0910;131.62;109.22;120.2;56.5;99.15;82.86
20210123:1010;179.02;141.23;173.53;92.24;157.11;116.735
20210123:1110;127.89;112.54;128.29;105.9;125.25;109.22
20210123:1210;387.66;164.99;415.86;211.32;404.6;188.155
